Comment[SystematicName]	Comment[GENE_SYMBOL]	Comment[GENE_NAME]	Comment[CYTOBAND]
NM_003779	B4GALT3	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3	hs|1q23.3
NM_024617	ZCCHC6	zinc finger, CCHC domain containing 6	hs|9q21.33
ENST00000487412	STARD13	StAR-related lipid transfer (START) domain containing 13	hs|13q13.1
TCONS_00028324	XLOC_013666		hs|20p11.23
ENST00000428999	XLOC_013772		hs|20q13.13
NM_004417	DUSP1	dual specificity phosphatase 1	hs|5q35.1
NM_001867	COX7C	cytochrome c oxidase subunit VIIc	hs|5q14.3
NM_007215	POLG2	polymerase (DNA directed), gamma 2, accessory subunit	hs|17q23.3
ERCC-00144_60			
NM_001017373	SAMD3	sterile alpha motif domain containing 3	hs|6q23.1
NM_001014446	OCIAD2	OCIA domain containing 2	hs|4p11
NM_018936	PCDHB2	protocadherin beta 2	hs|5q31.3
NM_182537	HTR3D	5-hydroxytryptamine (serotonin) receptor 3 family member D	hs|3q27.1
BC015677	LOC646482	uncharacterized LOC646482	hs|13q12.13
NM_020772	NUFIP2	nuclear fragile X mental retardation protein interacting protein 2	hs|17q11.2
NR_001537	TTTY13	testis-specific transcript, Y-linked 13 (non-protein coding)	hs|Yq11.223
EF011072			
NM_003777	DNAH11	dynein, axonemal, heavy chain 11	hs|7p15.3
NM_203437	AFTPH	aftiphilin	hs|2p14
NM_018593	SLC16A10	solute carrier family 16, member 10 (aromatic amino acid transporter)	hs|6q21
NM_004590	CCL16	chemokine (C-C motif) ligand 16	hs|17q12
NM_003500	ACOX2	acyl-CoA oxidase 2, branched chain	hs|3p14.3
ENST00000424948	XLOC_000808		hs|1p34.2
NM_024561	NAA16	N(alpha)-acetyltransferase 16, NatA auxiliary subunit	hs|13q14.11
NR_023358	SCARNA9L	small Cajal body-specific RNA 9-like (retrotransposed)	hs|Xp22.12
NM_173525	C11orf42	chromosome 11 open reading frame 42	hs|11p15.4
ENST00000425412			hs|1q42.2
DQ854993			
NM_153229	TMEM92	transmembrane protein 92	hs|17q21.33
XR_109399	LOC100288866	uncharacterized LOC100288866	hs|17q21.33
NM_001020658	PUM1	pumilio homolog 1 (Drosophila)	hs|1p35.2
NM_001134493	TOMM6	translocase of outer mitochondrial membrane 6 homolog (yeast)	hs|6p21.1
NM_018287	ARHGAP12	Rho GTPase activating protein 12	hs|10p11.22
NM_001037866	RGPD6	RANBP2-like and GRIP domain containing 6	hs|2q13
NM_000747	CHRNB1	cholinergic receptor, nicotinic, beta 1 (muscle)	hs|17p13.1
NM_022748	TNS3	tensin 3	hs|7p12.3
NM_001042402	NAAA	N-acylethanolamine acid amidase	hs|4q21.1
NM_016538	SIRT7	sirtuin 7	hs|17q25.3
NM_198459	DENND2C	DENN/MADD domain containing 2C	hs|1p13.2
NM_001031618	SPDYE2	speedy homolog E2 (Xenopus laevis)	hs|7q22.1
NM_002546	TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b	hs|8q24.12
NM_000111	SLC26A3	solute carrier family 26, member 3	hs|7q31.1
NM_006145	DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1	hs|19p13.12
NR_026827	LOC84856	uncharacterized LOC84856	hs|10q11.21
NM_173573	C11orf35	chromosome 11 open reading frame 35	hs|11p15.5
TCONS_l2_00008931	XLOC_l2_004844		hs|15q11.2
AL834121	SEPHS1P1	selenophosphate synthetase 1 pseudogene 1	hs|7q11.21
ENST00000553134	LOC100506948		hs|15q11.2
ENST00000503987	XLOC_l2_011145		hs|4q13.2
DQ855003			
NM_015350	LRRC8B	leucine rich repeat containing 8 family, member B	hs|1p22.2
NM_207366	SEPT14	septin 14	hs|7p11.2
ENST00000424215	XLOC_l2_000033		hs|1p36.32
NM_000786	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1	hs|7q21.2
TCONS_00029143	XLOC_014083		hs|21q22.2
NM_000688	ALAS1	aminolevulinate, delta-, synthase 1	hs|3p21.2
NM_058173	MUCL1	mucin-like 1	hs|12q13.2
BC050028	XLOC_008839		hs|10q21.3
THC2541287			hs|16p13.3
NM_012344	NTSR2	neurotensin receptor 2	hs|2p25.1
A_33_P3399755			hs|15q15.2
NM_152655	ZNF585A	zinc finger protein 585A	hs|19q13.12
ENST00000435913			hs|1q21.1
NM_020680	SCYL1	SCY1-like 1 (S. cerevisiae)	hs|11q13.1
ENST00000427835			hs|20p12.2
NM_017632	CDKN2AIP	CDKN2A interacting protein	hs|4q35.1
TCONS_00020594	XLOC_009911		hs|12q24.31
NM_020365	EIF2B3	eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa	hs|1p34.1
TCONS_00011971	XLOC_005485		hs|6q24.1
NM_004505	USP6	ubiquitin specific peptidase 6 (Tre-2 oncogene)	hs|17p13.2
ENST00000426204	XLOC_l2_015342		hs|9q31.3
NR_024463	LOC100189589	uncharacterized LOC100189589	hs|2p13.1
A_33_P3303925			hs|2q35
NM_017860	C1orf56	chromosome 1 open reading frame 56	hs|1q21.3
ENST00000555539	XLOC_011072		hs|14q24.3
NM_000321	RB1	retinoblastoma 1	hs|13q14.2
NM_001195541	LOC100289187	transmembrane protein 225-like	hs|7q22.1
NM_033123	PLCZ1	phospholipase C, zeta 1	hs|12p12.3
NM_004786	TXNL1	thioredoxin-like 1	hs|18q21.31
TCONS_00029809	XLOC_014244		hs|22q13.1
NM_025218	ULBP1	UL16 binding protein 1	hs|6q25.1
NM_015086	DDN	dendrin	hs|12q13.12
NM_001145346	RBMXL3	RNA binding motif protein, X-linked-like 3	hs|Xq23
NR_037871	LOC100233156	tektin 4 pseudogene	
TCONS_00026793	XLOC_013100		hs|19q13.32
NM_018984	SSH1	slingshot homolog 1 (Drosophila)	hs|12q24.11
TCONS_00016984	XLOC_007966		hs|Xp11.3
NM_017421	COQ3	coenzyme Q3 homolog, methyltransferase (S. cerevisiae)	hs|6q16.2
DQ516739			
NM_144577	CCDC114	coiled-coil domain containing 114	hs|19q13.33
THC2703660			hs|16q22.2
NM_022358	KCNK15	potassium channel, subfamily K, member 15	hs|20q13.12
NM_198531	ATP9B	ATPase, class II, type 9B	hs|18q23
NM_005871	SMNDC1	survival motor neuron domain containing 1	hs|10q25.2
NM_001030311	CERKL	ceramide kinase-like	hs|2q31.3
A_33_P3222529			hs|12q24.31
ENST00000556886			hs|14q21.2
ENST00000521411	XLOC_007014		hs|8p22
BC050282	XLOC_l2_010463		hs|3q27.1
ERCC-00171_229			
TCONS_00003622	XLOC_001412		hs|2p23.1
NM_138399	TMEM44	transmembrane protein 44	hs|3q29
XM_003403512	C13orf41	chromosome 13 open reading frame 41	hs|13q12.13
NM_007358	MTF2	metal response element binding transcription factor 2	hs|1p22.1
NM_021116	ADCY1	adenylate cyclase 1 (brain)	hs|7p12.3
A_33_P3220780			hs|13q31.1
TCONS_00004377	XLOC_002262		hs|2q12.3
NM_017881	C9orf95	chromosome 9 open reading frame 95	hs|9q21.13
NM_002895	RBL1	retinoblastoma-like 1 (p107)	hs|20q11.23
DQ459412			
NM_130847	AMOTL1	angiomotin like 1	hs|11q21
BX097352			hs|10q26.13
NM_201591	GPM6A	glycoprotein M6A	hs|4q34.2
TCONS_00014334	XLOC_006491		hs|7q11.22
NM_053274	GLMN	glomulin, FKBP associated protein	hs|1p22.1
TCONS_00003915	XLOC_001719		hs|2q24.1
NR_024035	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	hs|5q35.3
NM_144963	FAM91A1	family with sequence similarity 91, member A1	hs|8q24.13
NM_173848	RALYL	RALY RNA binding protein-like	hs|8q21.2
TCONS_00028463	XLOC_013837		hs|20q13.33
NM_198493	ANKRD45	ankyrin repeat domain 45	hs|1q25.1
NM_022840	METTL4	methyltransferase like 4	hs|18p11.32
NM_003423	ZNF43	zinc finger protein 43	hs|19p12
BC043560	XLOC_007734		hs|9q21.13
NM_002903	RCVRN	recoverin	hs|17p13.1
NM_001080825	TMEM120B	transmembrane protein 120B	hs|12q24.31
ENST00000439622	XLOC_007996		hs|Xp11.21
NM_184086	TRIM55	tripartite motif containing 55	hs|8q13.1
NM_018231	SLC38A7	solute carrier family 38, member 7	hs|16q21
NM_014346	TBC1D22A	TBC1 domain family, member 22A	hs|22q13.31
DQ459412			
NR_026860	LINC00473	long intergenic non-protein coding RNA 473	hs|6q27
NM_052939	FCRL3	Fc receptor-like 3	hs|1q23.1
DQ516784			
NM_058229	FBXO32	F-box protein 32	hs|8q24.13
TCONS_00019575	XLOC_009374		hs|11p15.3
NM_005275	GNL1	guanine nucleotide binding protein-like 1	hs|6p21.33
NM_173517	VKORC1L1	vitamin K epoxide reductase complex, subunit 1-like 1	hs|7q11.21
NR_001538	TTTY1	testis-specific transcript, Y-linked 1 (non-protein coding)	hs|Yp11.2
NM_014924	ATG14	ATG14 autophagy related 14 homolog (S. cerevisiae)	hs|14q22.3
DA346981			hs|13q31.1
ENST00000439905			hs|5q31.1
NM_145912	NFAM1	NFAT activating protein with ITAM motif 1	hs|22q13.2
DQ516750			
ENST00000449845	XLOC_002966		hs|3q27.3
NM_021100	NFS1	NFS1 nitrogen fixation 1 homolog (S. cerevisiae)	hs|20q11.22
NM_001105659	LRRIQ3	leucine-rich repeats and IQ motif containing 3	hs|1p31.1
NM_031282	FCRL4	Fc receptor-like 4	hs|1q23.1
NM_016020	TFB1M	transcription factor B1, mitochondrial	hs|6q25.3
NM_015695	BRPF3	bromodomain and PHD finger containing, 3	hs|6p21.31
NM_201631	TGM5	transglutaminase 5	hs|15q15.2
ENST00000454128	XLOC_014001		hs|21q11.2
NM_013378	VPREB3	pre-B lymphocyte 3	hs|22q11.23
A_33_P3238820			hs|17q25.1
NM_002711	PPP1R3A	protein phosphatase 1, regulatory subunit 3A	hs|7q31.1
BU428864	LIMD1	LIM domains containing 1	hs|3p21.31
NM_003527	HIST1H2BO	histone cluster 1, H2bo	hs|6p22.1
AK296186	LOC100129717	uncharacterized LOC100129717	hs|8p21.2
NM_015120	ALMS1	Alstrom syndrome 1	hs|2p13.1
DQ459412			
NM_176819	CXorf36	chromosome X open reading frame 36	hs|Xp11.3
NM_015044	GGA2	golgi-associated, gamma adaptin ear containing, ARF binding protein 2	hs|16p12.2
DQ668364			
TCONS_00015398	XLOC_006991		hs|8p23.1
NM_003272	GPR137B	G protein-coupled receptor 137B	hs|1q42.3
NM_182627	WDR53	WD repeat domain 53	hs|3q29
TCONS_00020347	XLOC_009677		hs|12p12.3
NM_181846	ZSCAN22	zinc finger and SCAN domain containing 22	hs|19q13.43
NM_014189	ADD1	adducin 1 (alpha)	hs|4p16.3
TCONS_l2_00022450	XLOC_l2_011692		hs|5q21.1
NM_032292	GON4L	gon-4-like (C. elegans)	hs|1q22
NM_014862	ARNT2	aryl-hydrocarbon receptor nuclear translocator 2	hs|15q25.1
NM_138395	MARS2	methionyl-tRNA synthetase 2, mitochondrial	hs|2q33.1
NM_032122	DTNBP1	dystrobrevin binding protein 1	hs|6p22.3
ENST00000431031			hs|1p22.3
NM_198581	ZC3H6	zinc finger CCCH-type containing 6	hs|2q13
NM_015541	LRIG1	leucine-rich repeats and immunoglobulin-like domains 1	hs|3p14.1
NM_001025248	DUT	deoxyuridine triphosphatase	hs|15q21.1
ENST00000502421	XLOC_004569		hs|5q31.1
NM_020672	S100A14	S100 calcium binding protein A14	hs|1q21.3
NM_001788	SEPT7	septin 7	hs|7p14.2
NM_005544	IRS1	insulin receptor substrate 1	hs|2q36.3
NM_014062	NOB1	NIN1/RPN12 binding protein 1 homolog (S. cerevisiae)	hs|16q22.1
NM_003145	SSR2	signal sequence receptor, beta (translocon-associated protein beta)	hs|1q22
DQ459413			
NM_001004125	TUSC1	tumor suppressor candidate 1	hs|9p21.2
NM_004994	MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	hs|20q13.12
TCONS_00010620	XLOC_004285		hs|5p15.31
ENST00000411514			hs|6p22.1
NM_145178	ATOH7	atonal homolog 7 (Drosophila)	hs|10q21.3
NM_032411	C2orf40	chromosome 2 open reading frame 40	hs|2q12.2
TCONS_00006658	XLOC_003250		hs|3q22.1
NM_006091	CORO2B	coronin, actin binding protein, 2B	hs|15q23
NM_174938	FRMD3	FERM domain containing 3	hs|9q21.32
NM_014571	HEYL	hairy/enhancer-of-split related with YRPW motif-like	hs|1p34.3
TCONS_00014884	XLOC_006954		hs|8q24.3
A_33_P3407941			hs|11p15.5
NM_000740	CHRM3	cholinergic receptor, muscarinic 3	hs|1q43
NM_019008	SMCR7L	Smith-Magenis syndrome chromosome region, candidate 7-like	hs|22q13.1
NM_006755	TALDO1	transaldolase 1	hs|11p15.5
BX104548	XLOC_012035		hs|16q24.1
ENST00000553346			hs|14q31.3
ENST00000518934			hs|8q12.1
NM_013943	CLIC4	chloride intracellular channel 4	hs|1p36.11
DQ459420			
NM_001080423	GRIP2	glutamate receptor interacting protein 2	hs|3p25.1
TCONS_00001450	XLOC_000780		hs|1p35.1
NR_024416	FLJ35390	uncharacterized LOC255031	hs|7p13
NM_018711	SVOP	SV2 related protein homolog (rat)	hs|12q24.11
NM_004091	E2F2	E2F transcription factor 2	hs|1p36.12
NM_005897	IPP	intracisternal A particle-promoted polypeptide	hs|1p34.1
NM_000849	GSTM3	glutathione S-transferase mu 3 (brain)	hs|1p13.3
NM_021081	GHRH	growth hormone releasing hormone	hs|20q11.23
NM_004284	CHD1L	chromodomain helicase DNA binding protein 1-like	hs|1q21.1
NM_207517	ADAMTSL3	ADAMTS-like 3	hs|15q25.2
TCONS_00024434	XLOC_011751		hs|16q21
NM_004609	TCF15	transcription factor 15 (basic helix-loop-helix)	hs|20p13
NM_003704	FAM193A	family with sequence similarity 193, member A	hs|4p16.3
NM_025087	CWH43	cell wall biogenesis 43 C-terminal homolog (S. cerevisiae)	hs|4p11
NM_015139	SLC35D1	solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1	hs|1p31.3
NM_006169	NNMT	nicotinamide N-methyltransferase	hs|11q23.2
ENST00000494753	PLIN2	perilipin 2	hs|9p22.1
NM_033081	DIDO1	death inducer-obliterator 1	hs|20q13.33
EF011065			
BX118437	XLOC_012984		hs|19p13.12
TCONS_00004115	XLOC_001964		hs|2p25.2
NM_005454	CER1	cerberus 1, cysteine knot superfamily, homolog (Xenopus laevis)	hs|9p22.3
TCONS_00005058	XLOC_001935		hs|2p25.3
NM_144964	RG9MTD3	RNA (guanine-9-) methyltransferase domain containing 3	hs|9p13.2
NM_000201	ICAM1	intercellular adhesion molecule 1	hs|19p13.2
NM_020341	PAK7	p21 protein (Cdc42/Rac)-activated kinase 7	hs|20p12.2
ENST00000506852	XLOC_004066		hs|4q28.1
DQ459426			
NM_001001953	OR10G9	olfactory receptor, family 10, subfamily G, member 9	hs|11q24.1
NM_002252	KCNS3	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3	hs|2p24.2
NM_024779	PIP4K2C	phosphatidylinositol-5-phosphate 4-kinase, type II, gamma	hs|12q13.3
DQ516796			
TCONS_00013328	XLOC_005976		hs|7p22.1
NM_015251	ATMIN	ATM interactor	hs|16q23.2
NM_152431	PIWIL4	piwi-like 4 (Drosophila)	hs|11q21
TCONS_l2_00025889	XLOC_l2_013416		hs|7p11.2
NM_001012761	RGMB	RGM domain family, member B	hs|5q15
NM_032390	MKI67IP	MKI67 (FHA domain) interacting nucleolar phosphoprotein	hs|2q14.3
NM_184086	TRIM55	tripartite motif containing 55	hs|8q13.1
CA436475	SNAR-E	small ILF3/NF90-associated RNA E	hs|19q13.32
AK123416	LOC553137	uncharacterized LOC553137	hs|6q21
NR_024507	TTL	tubulin tyrosine ligase	hs|13q14.11
NR_040111	LOC100505782	uncharacterized LOC100505782	hs|17q21.2
ENST00000433310			hs|21q21.3
NM_001410	MEGF8	multiple EGF-like-domains 8	hs|19q13.2
ENST00000434516	XLOC_014247		hs|22q13.1
NM_020470	YIF1A	Yip1 interacting factor homolog A (S. cerevisiae)	hs|11q13.2
NM_024525	TTC13	tetratricopeptide repeat domain 13	hs|1q42.2
ENST00000449573			hs|7p21.1
NM_001001342	BLOC1S2	biogenesis of lysosomal organelles complex-1, subunit 2	hs|10q24.31
ENST00000417213	XLOC_l2_007967		hs|2p22.2
DQ883673			
ENST00000422118	XLOC_l2_007785		hs|2q36.1
TCONS_00016034	XLOC_007429		hs|9q21.33
NM_000782	CYP24A1	cytochrome P450, family 24, subfamily A, polypeptide 1	hs|20q13.2
NM_002415	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	hs|22q11.23
NR_033878	LOC387895	uncharacterized LOC387895	hs|12q24.32
NM_004823	KCNK6	potassium channel, subfamily K, member 6	hs|19q13.2
NM_013379	DPP7	dipeptidyl-peptidase 7	hs|9q34.3
TCONS_00012129	XLOC_005659		hs|6p22.1
TCONS_00025387	XLOC_012200		hs|17q21.2
NM_016121	KCTD3	potassium channel tetramerisation domain containing 3	hs|1q41
TCONS_00024635	XLOC_011926		hs|16p11.2
NM_001068	TOP2B	topoisomerase (DNA) II beta 180kDa	hs|3p24.2
NM_001243646	CD2BP2	CD2 (cytoplasmic tail) binding protein 2	hs|16p11.2
NM_005413	SIX3	SIX homeobox 3	hs|2p21
ENST00000424283	XLOC_005729		hs|6p21.1
NM_020899	ZBTB4	zinc finger and BTB domain containing 4	hs|17p13.1
NM_145236	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	hs|2q37.1
NM_020371	AVEN	apoptosis, caspase activation inhibitor	hs|15q14
A_33_P3244834			hs|1p36.13
TCONS_00001368	XLOC_000669		hs|1p36.33
ENST00000462931	Q89B38		hs|3q25.1
DQ668359			
NM_000686	AGTR2	angiotensin II receptor, type 2	hs|Xq23
NM_013993	DDR1	discoidin domain receptor tyrosine kinase 1	hs|6p21.33
NM_014219	KIR2DL2	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 2	
NM_000602	SERPINE1	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	hs|7q22.1
NM_212479	ZMYND11	zinc finger, MYND-type containing 11	hs|10p15.3
TCONS_l2_00017898	XLOC_l2_009467		hs|22q11.21
ENST00000376868	FLT4	fms-related tyrosine kinase 4	hs|5q35.3
ENST00000474333	SERP2	stress-associated endoplasmic reticulum protein family member 2	hs|13q14.11
NM_018298	MCOLN3	mucolipin 3	hs|1p22.3
ENST00000451228	LOC440993		hs|3q29
NR_002714	REG1P	regenerating islet-derived 1 pseudogene	hs|2p12
NM_000170	GLDC	glycine dehydrogenase (decarboxylating)	hs|9p24.1
M12623	HMGN2	high mobility group nucleosomal binding domain 2	hs|1p36.11
NM_001085382	PSAPL1	prosaposin-like 1 (gene/pseudogene)	hs|4p16.1
XR_108741	LOC100505960	uncharacterized LOC100505960	hs|7p21.3
TCONS_00020611	XLOC_009927		hs|12q24.31
NR_024032	LINC00474	long intergenic non-protein coding RNA 474	hs|9q33.1
ENST00000376855	CLDN10	claudin 10	hs|13q32.1
NM_003907	EIF2B5	eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa	hs|3q27.1
TCONS_00005270	XLOC_002384		hs|2q24.3
NM_001080444	IGSF5	immunoglobulin superfamily, member 5	hs|21q22.2
ENST00000521143	XLOC_007000		hs|8p23.1
ENST00000357170			hs|11p15.4
XR_133034	LOC100505518	uncharacterized LOC100505518	hs|13q22.3
ENST00000428709			hs|9p11.2
NM_025212	CXXC4	CXXC finger protein 4	hs|4q24
NM_001008749	RAB19	RAB19, member RAS oncogene family	hs|7q34
XR_109751	LOC388882	uncharacterized LOC388882	hs|22q11.23
DCP_20_0			
NM_145715	TIGD2	tigger transposable element derived 2	hs|4q22.1
NR_002591	SNORD95	small nucleolar RNA, C/D box 95	hs|5q35.3
NR_026900	FLJ23867	uncharacterized protein FLJ23867	hs|1q25.2
ENST00000447150	XLOC_000201		hs|1p32.3
NM_018048	MAGOHB	mago-nashi homolog B (Drosophila)	hs|12p13.2
NR_003950	ZDHHC8P1	zinc finger, DHHC-type containing 8 pseudogene 1	hs|22q11.23
TCONS_00010942	XLOC_004850		hs|5q12.3
NM_017553	INO80	INO80 homolog (S. cerevisiae)	hs|15q15.1
DQ883689			
NM_001917	DAO	D-amino-acid oxidase	hs|12q24.11
NR_003945	GVINP1	GTPase, very large interferon inducible pseudogene 1	hs|11p15.4
NM_015918	POP5	processing of precursor 5, ribonuclease P/MRP subunit (S. cerevisiae)	hs|12q24.31
NM_016542	MST4	serine/threonine protein kinase MST4	hs|Xq26.2
DQ668359			
NM_006548	IGF2BP2	insulin-like growth factor 2 mRNA binding protein 2	hs|3q27.2
ENST00000416310	XLOC_008439		hs|10p11.23
EF011063			
TCONS_00019242	XLOC_009073		hs|11p15.2
NM_001170330	C4orf3	chromosome 4 open reading frame 3	hs|4q26
TCONS_00019646	XLOC_009452		hs|11q12.3
NM_031244	SIRT5	sirtuin 5	hs|6p23
NM_002265	KPNB1	karyopherin (importin) beta 1	hs|17q21.32
NM_001001555	GRB10	growth factor receptor-bound protein 10	hs|7p12.1
NM_148903	GREB1	growth regulation by estrogen in breast cancer 1	hs|2p25.1
ENST00000518732	XLOC_006850		hs|8q21.11
ENST00000440104	XLOC_l2_000631		hs|1q41
NM_022463	NXN	nucleoredoxin	hs|17p13.3
NR_038247	LOC100507433	uncharacterized LOC100507433	hs|19q13.12
ENST00000445938			hs|7p13
NM_207445	C15orf54	chromosome 15 open reading frame 54	hs|15q14
NM_201542	MED8	mediator complex subunit 8	hs|1p34.2
NM_016061	YPEL5	yippee-like 5 (Drosophila)	hs|2p23.1
BC035069	XLOC_004268		hs|5p15.32
NM_000390	CHM	choroideremia (Rab escort protein 1)	hs|Xq21.2
NM_002831	PTPN6	protein tyrosine phosphatase, non-receptor type 6	hs|12p13.31
NM_001017397	TRIM36	tripartite motif containing 36	hs|5q22.3
ENST00000294161	TTC9C	tetratricopeptide repeat domain 9C	hs|11q12.3
DQ516795			
ENST00000448264	XLOC_000587		hs|1q42.12
TCONS_00006373	XLOC_002989		hs|3q29
TCONS_00023549	XLOC_011383		hs|15q26.3
TCONS_l2_00021337	XLOC_l2_011302		hs|4q31.22
DQ516754			
ENST00000371376	HSPB11	heat shock protein family B (small), member 11	hs|1p32.3
NM_033426	KIAA1737	KIAA1737	hs|14q24.3
NM_016362	GHRL	ghrelin/obestatin prepropeptide	hs|3p25.3
ENST00000420694	XLOC_010557		hs|13q12.3
NM_022909	CENPH	centromere protein H	hs|5q13.2
NM_014379	KCNV1	potassium channel, subfamily V, member 1	hs|8q23.2
TCONS_00017353	XLOC_008198		hs|Xq22.1
NM_016406	UFC1	ubiquitin-fold modifier conjugating enzyme 1	hs|1q23.3
ENST00000444017	XLOC_002470		hs|2q33.3
DA089649	XLOC_013480		hs|20p11.22
ENST00000511734	XLOC_004345		hs|5p13.1
NM_018154	ASF1B	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	hs|19p13.12
ENST00000231368	LNPEP	leucyl/cystinyl aminopeptidase	hs|5q15
ENST00000427722	XLOC_l2_014694		hs|9p24.2
NM_007270	FKBP9	FK506 binding protein 9, 63 kDa	hs|7p14.3
TCONS_00029179	XLOC_014118		hs|21q22.3
NM_007236	CHP	calcium binding protein P22	hs|15q15.1
NM_012168	FBXO2	F-box protein 2	hs|1p36.22
NM_001020818	MYADM	myeloid-associated differentiation marker	hs|19q13.42
NM_012180	FBXO8	F-box protein 8	hs|4q34.1
DQ516780			
ENST00000409862	CNRIP1	cannabinoid receptor interacting protein 1	hs|2p14
ENST00000450500	XLOC_002935		hs|3q26.32
XR_109949	LOC100507201	uncharacterized LOC100507201	hs|2p12
NM_002867	RAB3B	RAB3B, member RAS oncogene family	hs|1p32.3
ENST00000400831			hs|6q27
NR_033931	LOC152742	uncharacterized LOC152742	hs|4p15.33
E1A_r60_a135			
NM_024866	ADM2	adrenomedullin 2	hs|22q13.33
NM_002164	IDO1	indoleamine 2,3-dioxygenase 1	hs|8p11.21
NM_181672	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	hs|Xq13.1
NM_001080448	EPHA6	EPH receptor A6	hs|3q11.2
ENST00000475488			hs|7q36.1
NM_024638	QTRTD1	queuine tRNA-ribosyltransferase domain containing 1	hs|3q13.31
NM_006586	CNPY3	canopy 3 homolog (zebrafish)	hs|6p21.1
NM_005704	PTPRU	protein tyrosine phosphatase, receptor type, U	hs|1p35.3
CR748640			hs|9q34.3
NM_004412	TRDMT1	tRNA aspartic acid methyltransferase 1	hs|10p13
NM_001034842	PTCHD3	patched domain containing 3	hs|10p12.1
NM_024623	OGFOD2	2-oxoglutarate and iron-dependent oxygenase domain containing 2	hs|12q24.31
NM_173584	EFCAB4A	EF-hand calcium binding domain 4A	hs|11p15.5
NM_007138	ZNF90	zinc finger protein 90	hs|19p12
TCONS_00004682	XLOC_001327		hs|2p25.2
NM_001130711	CLEC2A	C-type lectin domain family 2, member A	hs|12p13.31
NM_032946	NXF5	nuclear RNA export factor 5	hs|Xq22.1
NM_001508	GPR39	G protein-coupled receptor 39	hs|2q21.2
NM_004104	FASN	fatty acid synthase	hs|17q25.3
NM_024939	ESRP2	epithelial splicing regulatory protein 2	hs|16q22.1
NM_004737	LARGE	like-glycosyltransferase	hs|22q12.3
NM_001123066	MAPT	microtubule-associated protein tau	hs|17q21.31
TCONS_00014831	XLOC_006901		hs|8q23.1
NM_004168	SDHA	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	hs|5p15.33
THC2649084	XLOC_008033		hs|Xq22.1
NM_197966	BID	BH3 interacting domain death agonist	hs|22q11.21
3xSLv1			
NM_005328	HAS2	hyaluronan synthase 2	hs|8q24.13
NM_003760	EIF4G3	eukaryotic translation initiation factor 4 gamma, 3	hs|1p36.12
NM_000221	KHK	ketohexokinase (fructokinase)	hs|2p23.3
NR_038227	LOC100506451	uncharacterized LOC100506451	hs|12p12.1
NM_004954	MARK2	MAP/microtubule affinity-regulating kinase 2	hs|11q13.1
TCONS_00019808	XLOC_009608		hs|11q25
NM_001005368	ZNF32	zinc finger protein 32	hs|10q11.21
NM_001001555	GRB10	growth factor receptor-bound protein 10	hs|7p12.1
NM_006007	ZFAND5	zinc finger, AN1-type domain 5	hs|9q21.13
BC038723	XLOC_001504		hs|2p14
ENST00000504297	XLOC_005047		hs|5q32
NR_033892	TBC1D3P5	TBC1 domain family, member 3 pseudogene 5	hs|17q11.1
NM_025063	C1orf129	chromosome 1 open reading frame 129	hs|1q24.3
NR_001445	RN7SK	RNA, 7SK small nuclear	hs|6p12.2
ENST00000488386	LOC100652903		hs|7q22.3
NM_001146684	RNF222	ring finger protein 222	hs|17p13.1
NM_170744	UNC5B	unc-5 homolog B (C. elegans)	hs|10q22.1
NR_015427	LINC00094	long intergenic non-protein coding RNA 94	hs|9q34.2
BX103949	XLOC_l2_013730		hs|7p21.1
TCONS_00019195	XLOC_009021		hs|11p15.5
NM_005325	HIST1H1A	histone cluster 1, H1a	hs|6p22.2
NM_033416	IMP4	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	hs|2q21.1
NM_133433	NIPBL	Nipped-B homolog (Drosophila)	hs|5p13.2
NM_022842	CDCP1	CUB domain containing protein 1	hs|3p21.31
XR_110124	LOC100507398	uncharacterized LOC100507398	hs|13q14.3
NM_013450	BAZ2B	bromodomain adjacent to zinc finger domain, 2B	hs|2q24.2
ENST00000452477	XLOC_007700		hs|9p11.2
ENST00000449749	XLOC_009355		hs|11p15.5
ENST00000416595	XLOC_005642		hs|6p22.3
ENST00000510551	XLOC_l2_010650		hs|4p14
